--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Mon Oct  9 12:58:14 2023
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 11248, 'username': 'ADPROD\\khiray', 'name': 'Zoho Mail - Desktop.exe', 'vms': 146.6328125}
{'pid': 11484, 'username': 'ADPROD\\khiray', 'name': 'infoblox_rc_control_application.exe', 'vms': 2.70703125}
{'pid': 11500, 'username': None, 'name': 'SearchIndexer.exe', 'vms': 40.43359375}
{'pid': 11796, 'username': None, 'name': 'DDVDataCollector.exe', 'vms': 73.04296875}
{'pid': 12000, 'username': 'ADPROD\\khiray', 'name': 'Zoho Mail - Desktop.exe', 'vms': 11.4453125}
{'pid': 12116, 'username': None, 'name': 'SupportAssistAgent.exe', 'vms': 195.69921875}
{'pid': 12272, 'username': None, 'name': 'uhssvc.exe', 'vms': 1.734375}
{'pid': 12344, 'username': 'ADPROD\\khiray', 'name': 'msedge.exe', 'vms': 20.6953125}
{'pid': 12360, 'username': 'ADPROD\\khiray', 'name': 'igfxEMN.exe', 'vms': 3.9609375}
{'pid': 12392, 'username': 'ADPROD\\khiray', 'name': 'sihost.exe', 'vms': 7.46875}
{'pid': 12412, 'username': None, 'name': 'Dell.Client.Framework.UserProcess.exe', 'vms': 73.60546875}
{'pid': 12448, 'username': 'ADPROD\\khiray', 'name': 'svchost.exe', 'vms': 2.41015625}
{'pid': 12460, 'username': 'ADPROD\\khiray', 'name': 'svchost.exe', 'vms': 10.32421875}
{'pid': 12636, 'username': None, 'name': 'unsecapp.exe', 'vms': 2.1484375}
{'pid': 12680, 'username': None, 'name': 'mtxproxy.exe', 'vms': 4.87890625}
{'pid': 12824, 'username': None, 'name': 'svchost.exe', 'vms': 4.65234375}
{'pid': 12864, 'username': 'ADPROD\\khiray', 'name': 'firefox.exe', 'vms': 162.14453125}
{'pid': 12872, 'username': 'ADPROD\\khiray', 'name': 'Teams.exe', 'vms': 14.76953125}
{'pid': 12912, 'username': 'ADPROD\\khiray', 'name': 'dllhost.exe', 'vms': 8.203125}
{'pid': 13112, 'username': 'ADPROD\\khiray', 'name': 'svchost.exe', 'vms': 7.24609375}
{'pid': 13292, 'username': 'ADPROD\\khiray', 'name': 'explorer.exe', 'vms': 286.94921875}
{'pid': 13320, 'username': 'ADPROD\\khiray', 'name': 'fcagte.exe', 'vms': 42.6640625}
{'pid': 13560, 'username': 'ADPROD\\khiray', 'name': 'dllhost.exe', 'vms': 2.25390625}
{'pid': 13692, 'username': 'ADPROD\\khiray', 'name': 'taskhostw.exe', 'vms': 2.9140625}
{'pid': 13848, 'username': None, 'name': 'svchost.exe', 'vms': 2.359375}
{'pid': 13908, 'username': 'ADPROD\\khiray', 'name': 'fcagte.exe', 'vms': 41.9140625}
{'pid': 13928, 'username': 'ADPROD\\khiray', 'name': 'RuntimeBroker.exe', 'vms': 14.9609375}
